Time,Pitch,Roll
8.600,6.60,-1.05
8.650,6.58,-1.07
8.700,6.55,-1.10
8.750,6.55,-1.11
8.800,6.53,-1.00
8.850,6.44,-1.12
8.900,6.43,-1.13
8.950,6.44,-1.15
9.000,6.44,-1.15
9.050,6.47,-1.11
9.100,6.48,-1.09
9.150,6.45,-1.07
9.200,6.46,-1.09
9.250,6.46,-1.10
9.300,6.44,-1.10
9.350,6.43,-1.08
9.400,6.43,-1.11
9.450,6.44,-1.09
9.560,6.52,-1.06
9.610,6.51,-1.08
9.660,6.50,-1.08
9.710,6.50,-1.10
9.760,6.53,-1.11
9.810,6.53,-1.14
9.860,6.53,-1.14
9.910,6.53,-1.17
9.960,6.51,-1.16
10.010,6.53,-1.16
10.060,6.54,-1.14
10.110,6.52,-1.16
10.160,6.48,-1.16
10.210,6.45,-1.16
10.260,6.45,-1.15
10.310,6.43,-1.11
10.360,6.43,-1.07
10.410,6.42,-1.08
10.460,6.44,-1.14
10.510,6.45,-1.16
10.560,6.46,-1.17
10.610,6.43,-1.18
10.660,6.43,-1.17
10.710,6.45,-1.17
10.760,6.43,-1.19
10.810,6.48,-1.18
10.860,6.48,-1.20
Time,Pitch,Roll
0.038,0.24,-0.07
0.090,0.61,-0.09
0.140,0.92,-0.16
0.190,1.20,-0.21
0.240,1.47,-0.28
0.290,1.71,-0.34
0.340,1.94,-0.38
0.390,2.16,-0.44
0.440,2.36,-0.47
0.490,2.58,-0.51
0.540,2.76,-0.53
0.590,2.93,-0.55
0.640,3.10,-0.58
0.690,3.27,-0.62
0.740,3.43,-0.67
0.790,3.59,-0.70
0.840,3.74,-0.71
0.890,3.81,-0.70
0.940,3.95,-0.69
0.990,4.07,-0.72
1.040,4.18,-0.70
1.090,4.28,-0.70
1.140,4.41,-0.71
1.190,4.52,-0.65
1.240,4.62,-0.68
1.290,4.71,-0.70
1.340,4.80,-0.71
1.390,4.90,-0.72
1.440,5.00,-0.75
1.490,5.09,-0.80
1.600,5.22,-0.83
1.650,5.29,-0.86
1.700,5.37,-0.91
1.750,5.44,-0.92
1.800,5.51,-0.95
1.850,5.54,-0.97
1.900,5.58,-1.00
1.950,5.63,-1.01
2.000,5.66,-1.02
2.050,5.70,-1.00
2.100,5.74,-1.02
2.150,5.78,-1.03
2.200,5.89,-1.00
2.250,5.86,-1.02
2.300,5.87,-0.95
2.350,5.91,-0.98
2.400,5.93,-1.01
2.450,5.96,-1.14
2.500,5.99,-1.15
2.550,6.01,-1.16
2.600,6.04,-1.19
2.650,6.05,-1.17
2.700,6.07,-1.18
2.750,6.09,-1.17
2.800,6.10,-1.18
2.850,6.12,-1.19
2.900,6.18,-1.26
2.950,6.02,-1.35
3.000,6.08,-1.28
Time,Pitch,Roll
0.039,0.00,0.00
0.090,0.55,0.82
0.140,1.09,1.58
0.190,1.59,2.31
0.240,2.06,2.99
0.290,2.51,3.66
0.340,2.94,4.29
0.390,3.34,4.91
0.440,3.71,5.46
0.490,4.09,6.00
0.540,4.44,6.53
0.590,4.77,6.99
0.640,5.07,7.46
0.690,5.37,7.90
0.740,5.65,8.30
0.790,5.91,8.69
0.840,6.16,9.07
0.890,6.42,9.42
0.940,6.65,9.76
0.990,6.87,10.10
1.040,7.08,10.40
1.090,7.28,10.68
1.140,7.47,10.97
1.190,7.64,11.24
1.240,7.80,11.49
1.290,7.97,11.71
1.340,8.13,11.93
1.390,8.27,12.14
1.440,8.41,12.33
1.490,8.54,12.51
1.540,8.68,12.69
1.710,8.92,12.88
1.760,9.02,13.04
1.810,9.12,13.22
1.860,9.22,13.37
1.910,9.33,13.51
1.960,9.40,13.64
2.010,9.47,13.81
2.060,9.53,13.91
2.110,9.61,14.06
2.160,9.69,14.16
2.210,9.77,14.28
2.260,9.83,14.37
2.310,9.88,14.45
2.360,9.95,14.57
2.410,9.98,14.66
2.460,10.03,14.76
2.510,10.06,14.85
2.560,10.11,14.96
2.610,10.14,15.05
2.660,10.17,15.15
2.710,10.22,15.22
2.760,10.24,15.32
2.810,10.29,15.36
2.860,10.33,15.40
2.910,10.37,15.43
2.960,10.41,15.47
3.010,10.45,15.50
3.060,10.49,15.51
3.110,10.52,15.55
3.210,10.62,15.59
3.260,10.65,15.64
3.310,10.69,15.66
3.360,10.71,15.69
3.410,10.74,15.73
3.460,10.73,15.77
3.510,10.76,15.79
3.560,10.78,15.80
3.610,10.79,15.81
3.660,10.79,15.84
3.710,10.81,15.85
3.760,10.79,15.88
3.810,10.79,15.90
3.860,10.80,15.92
3.910,10.82,15.93
3.960,10.83,15.93
4.010,10.84,15.94
4.060,10.85,15.98
4.110,10.85,15.95
4.160,10.85,15.96
4.210,10.88,15.99
4.260,10.89,15.99
4.310,10.91,16.01
4.360,10.91,16.03
4.410,10.90,16.04
4.460,10.88,16.02
4.510,10.90,16.05
4.560,10.94,16.07
4.670,3.98,15.43
4.720,1.52,14.77
4.770,-1.65,14.01
4.820,-4.32,13.13
4.870,-6.64,11.13
4.920,-10.17,13.05
4.970,-12.98,13.67
5.020,-19.25,15.52
5.070,-23.88,15.61
5.120,-28.71,15.36
5.170,-30.48,14.38
5.220,-32.22,11.97
5.270,-34.54,9.78
5.320,-35.03,4.85
5.370,-36.49,0.12
5.420,-35.47,-6.58
